player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td,updated_date
Patrick Mahomes II,610.8,406.3,"4,836.2",37.7,11.2,64.9,357.6,3.2,1.9,384.2,KC,QB,,,,09.01.2023
Josh Allen,577.4,364.4,"4,289.9",32.2,14.2,116.7,660.0,6.2,4.2,381.2,BUF,QB,,,,09.01.2023
Jalen Hurts,495.6,319.0,"3,818.4",23.5,10.1,157.5,801.4,11.1,2.9,377.5,PHI,QB,,,,09.01.2023
Lamar Jackson,481.8,305.8,"3,490.4",25.6,11.6,148.6,941.2,5.5,3.0,351.5,BAL,QB,,,,09.01.2023
Joe Burrow,598.5,407.0,"4,634.2",33.1,13.1,65.0,272.8,3.9,2.3,350.5,CIN,QB,,,,09.01.2023
Justin Fields,414.8,256.9,"2,968.9",20.9,12.7,153.3,"1,033.9",6.9,3.3,327.9,CHI,QB,,,,09.01.2023
Justin Herbert,627.1,421.4,"4,591.0",30.1,12.7,57.1,219.8,2.0,2.0,321.0,LAC,QB,,,,09.01.2023
Deshaun Watson,503.4,323.9,"3,846.3",24.6,10.8,98.2,489.6,4.1,1.8,311.3,CLE,QB,,,,09.01.2023
Dak Prescott,552.9,364.9,"4,128.7",29.3,13.8,58.9,251.6,2.4,3.1,301.9,DAL,QB,,,,09.01.2023
Kirk Cousins,593.8,395.8,"4,452.1",30.6,12.3,31.6,92.0,1.5,2.8,300.9,MIN,QB,,,,09.01.2023
Trevor Lawrence,578.6,378.6,"4,088.5",26.9,12.1,62.5,285.4,3.9,5.2,300.7,JAC,QB,,,,09.01.2023
Daniel Jones,519.7,338.0,"3,510.9",20.9,10.0,109.7,638.6,4.9,4.1,299.3,NYG,QB,,,,09.01.2023
Geno Smith,544.6,370.8,"4,049.4",27.1,11.3,61.8,321.3,2.0,3.5,295.8,SEA,QB,,,,09.01.2023
Aaron Rodgers,559.2,361.9,"4,060.7",28.1,8.6,36.5,125.2,1.6,2.6,282.7,NYJ,QB,,,,09.01.2023
Russell Wilson,513.5,323.7,"3,806.4",24.2,10.9,63.8,320.6,2.7,2.1,282.4,DEN,QB,,,,09.01.2023
Tua Tagovailoa,535.9,351.6,"4,122.5",27.2,12.3,43.1,133.4,1.7,1.8,281.2,MIA,QB,,,,09.01.2023
Jared Goff,571.9,376.0,"4,254.8",28.1,11.0,32.0,83.3,1.3,3.6,280.5,DET,QB,,,,09.01.2023
Anthony Richardson,487.5,301.7,"3,208.5",18.4,13.0,135.9,611.9,4.3,2.3,271.6,IND,QB,,,,09.01.2023
Derek Carr,512.8,337.4,"3,969.6",24.1,11.9,34.6,116.8,1.0,2.6,255.9,NO,QB,,,,09.01.2023
Kenny Pickett,499.4,316.6,"3,308.7",17.7,12.2,67.1,436.2,3.6,1.5,253.2,PIT,QB,,,,09.01.2023
Jordan Love,545.4,346.0,"3,835.0",23.4,14.5,44.0,170.4,1.5,2.6,253.2,GB,QB,,,,09.01.2023
Brock Purdy,446.9,291.9,"3,514.6",24.8,10.2,38.5,125.7,2.2,1.4,252.2,SF,QB,,,,09.01.2023
Matthew Stafford,524.9,348.6,"3,975.5",24.3,13.2,30.4,71.4,0.9,2.8,249.6,LAR,QB,,,,09.01.2023
Bryce Young,521.6,327.6,"3,632.0",20.3,12.9,51.5,203.9,1.6,2.3,238.8,CAR,QB,,,,09.01.2023
Jimmy Garoppolo,492.8,326.4,"3,630.7",22.3,12.0,30.4,66.8,1.6,2.4,234.0,LV,QB,,,,09.01.2023
Mac Jones,515.8,338.7,"3,596.2",20.1,13.8,52.4,153.2,1.2,2.2,228.5,NE,QB,,,,09.01.2023
C.J. Stroud,521.8,327.6,"3,476.6",19.8,14.2,50.8,183.3,1.5,2.5,226.3,HOU,QB,,,,09.01.2023
Ryan Tannehill,455.2,296.4,"3,296.7",19.3,11.0,41.6,165.4,2.5,2.1,225.3,TEN,QB,,,,09.01.2023
Sam Howell,518.0,323.7,"3,312.1",18.5,12.9,56.5,235.7,1.9,2.4,224.0,WAS,QB,,,,09.01.2023
