player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
Patrick Mahomes II,555.7,374.0,"4,467.7",33.1,12.9,59.2,305.8,2.9,3.8,366.5,KC,QB,,,
Josh Allen,526.4,337.4,"4,062.1",30.3,19.0,105.3,591.6,5.0,5.5,357.5,BUF,QB,,,
Jalen Hurts,457.0,291.1,"3,507.2",18.8,14.3,141.7,670.1,7.7,4.6,337.5,PHI,QB,,,
Lamar Jackson,402.6,263.0,"3,090.5",20.1,16.0,130.0,777.0,3.0,4.3,327.8,BAL,QB,,,
Joe Burrow,567.5,391.2,"4,310.0",29.0,14.2,56.0,189.0,2.5,3.7,331.4,CIN,QB,,,
Justin Fields,351.8,213.3,"2,626.8",17.3,18.0,136.0,912.2,6.0,5.9,308.9,CHI,QB,,,
Justin Herbert,591.1,397.5,"4,298.7",29.0,15.9,54.0,173.0,1.0,3.8,295.8,LAC,QB,,,
Deshaun Watson,474.5,314.5,"3,748.0",22.8,15.0,82.0,376.0,2.0,3.4,296.9,CLE,QB,,,
Dak Prescott,536.6,353.1,"3,908.0",26.5,16.0,55.0,199.0,1.0,3.7,282.3,DAL,QB,,,
Trevor Lawrence,562.7,363.1,"3,894.8",24.0,14.6,55.8,250.4,2.9,8.0,282.3,JAC,QB,,,
Kirk Cousins,508.2,346.9,"4,147.6",27.9,14.0,23.0,63.8,0.9,4.2,285.0,MIN,QB,,,
Daniel Jones,510.6,330.3,"3,330.0",19.6,12.0,91.3,553.8,4.0,6.9,269.0,NYG,QB,,,
Geno Smith,467.7,328.1,"3,649.8",25.2,13.0,55.4,274.8,1.0,4.2,271.6,SEA,QB,,,
Aaron Rodgers,487.8,326.8,"3,698.1",25.0,11.0,30.0,83.0,1.0,3.7,270.5,NYJ,QB,,,
Tua Tagovailoa,487.7,326.0,"3,915.0",25.0,15.0,32.1,105.0,1.0,3.9,252.7,MIA,QB,,,
Russell Wilson,447.8,286.7,"3,441.3",22.0,13.0,59.0,261.0,1.8,3.8,253.3,DEN,QB,,,
Jared Goff,551.0,363.0,"3,932.7",24.0,13.3,22.7,69.4,1.0,4.9,244.1,DET,QB,,,
Anthony Richardson,443.7,269.0,"2,888.6",15.6,19.0,80.8,145.0,1.5,3.8,182.9,IND,QB,,,
Derek Carr,492.0,318.0,"3,679.0",23.0,13.0,32.3,81.7,0.0,4.3,238.3,NO,QB,,,
Jordan Love,500.2,315.5,"3,523.8",19.8,17.8,16.0,43.0,0.0,4.8,212.0,GB,QB,,,
Kenny Pickett,397.1,233.1,"2,209.1",4.9,15.0,58.8,264.9,2.0,3.1,231.6,PIT,QB,,,
Brock Purdy,356.0,242.4,"3,137.9",20.5,13.5,35.2,43.0,1.0,2.1,218.1,SF,QB,,,
Matthew Stafford,488.8,323.9,"3,554.0",20.7,17.0,26.0,51.0,0.0,4.0,233.0,LAR,QB,,,
Bryce Young,493.0,307.0,"3,450.0",17.0,15.7,32.0,145.0,1.0,3.9,207.4,CAR,QB,,,
Jimmy Garoppolo,383.2,257.1,"3,222.1",18.0,13.0,25.0,40.0,1.0,3.5,187.0,LV,QB,,,
Sam Howell,410.0,246.0,"2,090.1",10.6,18.0,39.0,112.9,1.0,4.1,148.3,WAS,QB,,,
Ryan Tannehill,385.9,254.7,"2,843.5",17.0,19.0,28.0,85.0,1.0,3.1,192.9,TEN,QB,,,
C.J. Stroud,476.4,303.0,"3,271.6",14.2,18.0,33.0,109.0,1.0,3.8,185.4,HOU,QB,,,
Mac Jones,441.7,293.8,"3,080.1",14.9,18.0,46.9,118.0,0.5,3.2,170.0,NE,QB,,,
Kyler Murray,340.0,224.0,"2,363.9",12.4,16.0,58.6,349.6,2.0,2.9,177.3,ARI,QB,,,
Baker Mayfield,349.3,211.0,"2,360.0",11.3,16.6,21.0,85.0,0.7,3.0,136.8,TB,QB,,,
Desmond Ridder,388.5,241.0,"2,685.0",13.0,15.3,21.0,82.0,1.0,4.0,163.8,ATL,QB,,,
Joshua Dobbs,51.0,32.0,356.0,1.3,15.2,6.0,28.0,0.0,2.0,16.2,ARI,QB,,,
Jacoby Brissett,21.0,13.0,141.0,1.0,6.4,5.0,21.0,0.0,4.8,7.0,WAS,QB,,,
Kyle Trask,37.0,22.0,208.0,1.0,11.7,1.0,3.0,0.0,2.5,7.0,TB,QB,,,
Will Levis,7.0,4.0,49.0,0.0,8.3,0.0,2.0,0.0,2.4,1.0,TEN,QB,,,
Brian Hoyer,76.0,46.0,522.0,1.3,8.2,3.0,7.0,0.0,1.8,16.2,LV,QB,,,
Taylor Heinicke,41.0,26.0,294.0,2.0,8.5,6.0,26.0,0.0,2.7,13.0,ATL,QB,,,
Sam Darnold,48.0,32.0,372.9,1.8,13.6,6.0,1.2,0.0,3.8,21.1,SF,QB,,,
